customer_id,cc_num,first_name,last_name,gender,street,city,state,zip,lat,long,city_pop,job,dob,loyalty_tier,email_domain,signup_date
500000,6778344915060852,Susan,Lopez,F,7448 Elm St,Chicago,IL,59236.0,41.903926,-87.677341,678185,Mechanic,1962-02-24,Gold,gmail.com,2017-01-01
500001,2147042007234967,Linda,Smith,M,4988 Elm St,Dallas,TX,98276.0,32.728912,-96.814639,6037197,Pharmacist,1985-04-06,,hotmail.com,2024-03-26
500002,4117929191934402,Robert,Rodriguez,M,1948 Main St,Houston,TX,96533.0,29.759264,-95.342759,3521845,Teacher,1972-03-16,Silver,yahoo.com,2015-10-03
500003,5021180454958178,Karen,Johnson,M,824 Elm St,Los Angeles,CA,67535.0,34.07053,-118.24911,1970780,Sales Manager,2003-04-15,Bronze,yahoo.com,2020-08-25
500004,9254170437475895,Charles,Hernandez,F,3981 Maple Dr,Phoenix,AZ,28777.0,33.425763,-112.024288,5543263,Electrician,1971-01-04,Platinum,outlook.com,2018-02-01
500005,6329263919249727,Jennifer,Wilson,F,868 Maple Dr,New York,NY,94320.0,40.705418,-74.010861,5636629,Dentist,1999-12-12,,outlook.com,2022-10-23
500006,3701152817979416,Richard,Garcia,F,4048 Oak Ave,San Antonio,TX,49418.0,29.390462,-98.464119,7198577,Mechanic,1986-08-17,Platinum,gmail.com,2021-04-22
500007,5773742578915393,Robert,Gonzalez,M,4277 Oak Ave,San Antonio,TX,53288.0,29.443468,-98.521523,5429961,Software Engineer,1987-05-15,Platinum,outlook.com,2016-01-14
500008,2715705558071399,Mary,Rodriguez,F,9978 Main St,Dallas,TX,19539.0,32.734938,-96.77895,1583428,Sales Manager,2015-01-03,Platinum,yahoo.com,2024-10-01
500009,9620065089764075,James,Miller,M,2022 Elm St,Boston,MA,41797.0,42.375551,-71.081574,5840336,Sales Manager,1979-11-15,Platinum,yahoo.com,2021-03-11
500010,5199612067023944,Sarah,Lopez,F,4385 Maple Dr,Philadelphia,PA,77215.0,39.997686,-75.200094,7410563,Plumber,1975-05-25,Platinum,gmail.com,2024-01-02
500011,8563625363021224,David,Miller,F,5226 Elm St,Charlotte,NC,15992.0,35.220333,-80.798738,4723799,Electrician,1992-02-14,Silver,gmail.com,2017-12-04
500012,7485291435210214,Susan,Martinez,M,3314 Maple Dr,Dallas,TX,40149.0,32.768673,-96.783147,3191326,Electrician,2002-05-25,Platinum,icloud.com,2022-05-05
500013,7875741234932361,Jessica,Thomas,F,2856 Maple Dr,Columbus,OH,32185.0,39.950959,-83.021378,1179057,Plumber,1980-04-14,Silver,icloud.com,2022-03-13
